RNAseA, 2.755
ThcOx, 2.755
SseK3, 3.096
PAS, 2.755
Seb1-RRM, 2.755
AcrB, 3.024
MjcD, 2.755
A2aR, 2.755
mPGES, 2.755
SoA, 3.066
AlgE, 2.755
Streptactin, 2.755
TauA, 2.375
GP1, 2.755
OmpK36, 4.133
BphA4, 5.767
