0.97818, X06DA, 7ZUO
0.97627, I03, 9FM8
0.81798, BL11-1, 7U4Q
0.9793, 17-ID-2, 8VCW
0.9791, PROXIMA 1, 4FPQ
1.5418, ?, 7AQ1
1.3320, ID29, 6FFJ
0.987, 19-ID, 6TZV
0.987, 21-ID-F, 6C45
0.979, 19-ID, 6OHU
1.45, W01B-MX2, 5VQI
0.8, X06SA, 2YL0
6.9, AMO, 3PCQ
6.2, AMO, 4AC5
5.767, I23, 8PXK
5.166, I23, 7S6G
5.166, I23, 9GCV
4.95937, I23, 5TCL
4.8621, I23, 7S6G
4.7686, I23, 7S6E
4.7686, I23, 7UG8
4.592, I23, 9GCV
4.5085, I23, 6OWZ
4.5, I23, 8CRM
4.5, I23, 8CRF
4.5, I23, 8CRK
4.42801, I23, 8AM4
4.42801, I23, 7ZSF
4.35, I23, 9GEF
4.32, I23, 6OWZ
4.27532, I23, 7ZSF
4.2753, I23, 7S6E
4.1328, I23, 9GCV
4.1328, I23, 8PYZ
4.132, I23, 8QVB
4.132, I23, 8QUU
4.132, I23, 8QUV
4.132, I23, 8QUZ
3.99, BL-03, 5CG5
3.5424, I23, 8QUR
3.542, I23, 6QNR
3.542, I23, 6QNQ
3.542, I23, 6QNQ
3.542, I23, 6QNR
3.542, I23, 6QNR
3.54, I23, 9GEF
3.54, I23, 8QVV
3.54, I23, 8QVS
3.54, I23, 8QUQ
3.531, I23, 6QNQ
3.4925, I23, 7UG8
3.39, ?, 4S2G
3.351, I23, 6QNR
3.351, I23, 6QNQ
3.351, I23, 6QNR
3.351, I23, 6QNR
3.351, I23, 6QNR
3.3509, I23, 7S6E
3.3509, I23, 6JJF
3.3509, I23, 6JJH
3.35, I23, 6DZ1
3.3, ?, 7D6G
3.179, I23, 7UG8
3.14, I23, 9GEF
3.0996, I23, 6TQI
3.0996, I23, 7S6G
3.0996, I23, 8AM4
3.099, I23, 8PZ5
3.0955, I23, 5LQ4
3.09187, I23, 8BWN
3.09, I23, 8PX4
3.0804, I23, 9F56
3.06892, I23, 9F56
3.0674, I23, 8BWM
3.066, I23, 8PXC
3.024, I23, 7S6E
3.024, I23, 8PX7
3.0, MANDI, 5A93
2.9, ?, 3HGN
2.9, 1G-A, 8K9P
2.85, CG4D, 5TKI
2.775, I23, 9GNG
2.7552, I23, 8PXG
2.7552, I23, 7S6G
2.7552, I23, 8PXJ
2.7552, I23, 6OWY
2.7552, I23, 6OWZ
2.7552, I23, 6HJ4
2.7552, I23, 7S6F
2.7552, I23, 8PX9
2.7552, I23, 8PWN
2.7552, I23, 8PX0
2.7552, I23, 8PX1
2.7552, I23, 8PAB
2.7552, I23, 8PX5
2.7552, I23, 8PAG
2.7552, I23, 8ABT
2.7552, I23, 8R79
2.7552, I23, 8RF2
2.7552, I23, 8RF8
2.7552, I23, 8RF6
2.7552, I23, 8RFF
2.7552, I23, 8RFD
2.7552, I23, 8RF5
2.7552, I23, 8RF4
2.7552, I23, 7UG8
2.7552, I23, 7O56
2.7552, I23, 8CKG
2.7552, I23, 8PYV
2.7552, I23, 8RF3
2.7551, I23, 6VKF
2.755, I23, 6TKE
2.755, I23, 6Y4L
2.755, I23, 8S6J
2.755, I23, 6ZPS
2.755, I23, 6TKC
2.755, I23, 7PK2
2.755, I23, 8PZ4
2.75, I23, 6W7C
2.75, I23, 8CRK
2.75, I23, 8CRM
2.75, I23, 6W8C
2.75, I23, 6W84
2.75, I23, 9GEF
2.75, I23, 8RFC
2.75, I23, 8CRF
2.75, I23, 6W85
2.713, ESA, 6S0L
2.713, ESA, 6S19
2.713, ESA, 6S1D
2.713, ESA, 6S0Q
2.7, BL-1A, 7XG9
2.7, BL-1A, 8XJ0
2.7, BL-1A, 6I5C
2.7, BL-1A, 6I59
2.7, BL-1A, 3U3T
2.7, BL-1A, 3U3V
2.7, BL-1A, 5OGE
2.7, BL-1A, 8IX6
2.7, BL-1A, 5YAE
2.7, BL-1A, 8H8H
2.7, BL-1A, 4NYR
2.69, P13 (MX1), 5FTP
1.54, ?, 1EJ7
2.5, BL9-2, 1RW4
2.5, 12.3.1, 5FDW
2.5, 12.3.1, 5F9J
